symbol,entry_time,exit_time,direction,entry_price,exit_price,stop_loss,position_size,pnl,exit_reason,phase,range_id,partial_exited,original_risk,inv_price,stop_price
EUR/USD,2024-12-06 12:00:00,2024-12-18 16:00:00,short,1.05574,1.0449623495101927,1.062925100326538,30626.55694549244,330.08232646469367,TP1_50%,KOD,779,False,0.007185100326538185,1.062925100326538,1.062925100326538
EUR/USD,2024-12-06 12:00:00,2024-12-18 16:00:00,short,1.05574,1.0413697993469235,1.05574,30626.55694549244,440.10976861959614,TP2,KOD,779,True,0.007185100326538185,1.062925100326538,1.062925100326538
EUR/USD,2024-12-17 00:00:00,2024-12-18 16:00:00,short,1.05083,1.0469633175849913,1.0534077882766724,82887.76042442764,320.5006456525842,TP1_50%,KOD,814,False,0.0025777882766724325,1.0534077882766724,1.0534077882766724
EUR/USD,2024-12-17 00:00:00,2024-12-18 16:00:00,short,1.05083,1.045674423446655,1.05083,82887.76042442764,427.3341942034456,TP2,KOD,814,True,0.0025777882766724325,1.0534077882766724,1.0534077882766724
EUR/USD,2024-12-17 04:00:00,2024-12-18 16:00:00,short,1.04824,1.0433128624916077,1.0515247583389282,65048.04160766474,320.5006456525914,TP1_50%,KOD,820,False,0.003284758338928162,1.0515247583389282,1.0515247583389282
EUR/USD,2024-12-17 04:00:00,2024-12-18 16:00:00,short,1.04824,1.0416704833221437,1.04824,65048.04160766474,427.3341942034456,TP2,KOD,820,True,0.003284758338928162,1.0515247583389282,1.0515247583389282
EUR/USD,2024-12-18 12:00:00,2024-12-18 16:00:00,short,1.04739,1.0428447524070736,1.050420165061951,70513.35248521443,320.500645652592,TP1_50%,KOD,827,False,0.0030301650619508624,1.050420165061951,1.050420165061951
EUR/USD,2024-12-18 12:00:00,2024-12-18 16:00:00,short,1.04739,1.0413296698760983,1.04739,70513.35248521443,427.3341942034456,TP2,KOD,827,True,0.0030301650619508624,1.050420165061951,1.050420165061951
EUR/USD,2024-11-14 00:00:00,2024-12-18 20:00:00,short,1.05409,1.0371001382827758,1.0654165744781494,16064.687919871989,272.9368262889866,TP1_50%,Model-1,691,False,0.011326574478149443,1.0570825338363647,1.0654165744781494
EUR/USD,2024-11-27 05:45:00,2024-12-18 20:00:00,long,1.05277,1.0369784499999999,1.0369784499999999,25645.230071607064,-404.97793293728904,SL,OTE,738,False,0.0157915500000001,1.0526568472385407,
